0.020347,-0.19067,0.84743,0.71737,-0.67692,-0.16329,-0.021965,0.085843,0.54591,0.2998,0.0038161,-0.53988,0.10479,0.83519
-0.0095112,-0.062712,0.72074,-0.67183,0.72153,0.15911,0.052101,-0.09984,0.53108,0.2813,0.0040136,-0.53989,0.10488,0.83517
-0.13302,-0.059659,0.73537,-0.66914,0.725,0.15985,0.03284,-0.12353,0.66147,0.26686,0.0037875,-0.5399,0.10484,0.83517
-0.12727,0.036691,0.76372,-0.6977,0.70122,0.13902,0.046766,-0.16591,0.64305,0.16996,0.0038348,-0.53986,0.10474,0.8352
-0.068907,-0.067977,0.90616,0.69933,-0.69342,-0.15749,-0.072795,0.023935,0.62628,0.16025,0.003716,-0.53988,0.10477,0.83519
-0.055092,-0.1036,1.0405,-0.64112,0.74369,0.18932,0.0068299,0.15024,0.64281,0.099992,0.0037549,-0.53985,0.10486,0.8352
-0.0093994,-0.12479,0.82999,-0.67474,0.73656,0.0011369,-0.046945,0.022553,0.56121,0.25605,-0.021049,-0.3624,0.10143,0.92625
-0.12742,-0.11758,0.86912,-0.69631,0.71357,-0.0025079,-0.077235,0.016166,0.68984,0.22263,-0.01924,-0.38005,0.10174,0.91915
-0.12707,-0.035387,0.84758,0.71911,-0.69048,-0.044513,0.064376,-0.055671,0.67108,0.17021,0.01544,-0.37594,0.11594,0.91923
-0.12745,-0.059594,0.78056,0.7208,-0.66569,0.072152,0.17916,-0.089734,0.66289,0.23467,0.025018,-0.24547,0.13147,0.96012
